num_nodes,num_edges,false_avg_degree,average_clustering,density,average_shortest_path_length,diameter,radius,node_connectivity,edge_connectivity,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio
500,531,4.2944,0.1716682184223843,0.004303006012024048,4.668087132589714,12.8,7.0,1.0,1.0,32.242,13973.8,0.7632136072657096,0.8116628248018616
550,814,4.782545454545454,0.18906756310754375,0.004355688027819176,6.207751002572843,18.6,9.4,1.0,1.0,32.47927272727273,15233.2,0.7780145407812478,0.8273789737324584
605,715,5.391074380165289,0.1979174123067948,0.004462809917355372,4.939444039093094,15.2,7.8,1.0,1.0,32.76066115702479,16558.6,0.7558250017117827,0.8081104648869755
665,945,5.148872180451128,0.18162111706457684,0.003877162786484283,6.754757985085562,20.400000000000002,10.6,1.0,1.0,30.365413533834584,16769.0,0.790974391770676,0.8323282768903524
731,1263,6.096853625170999,0.20687719890253195,0.004175927140528082,6.129041629637948,18.0,9.399999999999999,1.0,1.0,31.684268125855,18704.4,0.7753270929880643,0.8213650787717013
804,1382,6.227860696517413,0.20581103485250332,0.0038778709193757243,6.551927905920795,18.8,10.200000000000001,1.0,1.0,30.554477611940303,19558.6,0.7796793755099709,0.8226802053666495
884,1519,7.212669683257918,0.23363462603617138,0.004084184418605843,6.734635607845582,20.6,10.6,1.0,1.0,31.200452488687784,21205.2,0.7887674530218387,0.8333540219637456
972,1818,7.7251028806584365,0.23395285128061105,0.003977910855127928,5.940847076315697,17.0,9.0,1.0,1.0,30.90555555555555,22531.399999999998,0.7867979405402694,0.8306696738776067
1069,2645,8.449017773620206,0.24423392169083868,0.003955532665552531,5.827694545836064,18.4,9.799999999999999,1.0,1.0,30.776613657623948,23868.2,0.8016178543919341,0.8430487803397855
1175,2848,9.572085106382978,0.2662293557089197,0.004076697234405016,5.743712184138494,17.6,9.2,1.0,1.0,31.173446808510636,25381.6,0.7787461494454317,0.8232164164785165
1292,3464,10.562848297213623,0.283606945798865,0.004090955963289552,6.081070970053453,18.400000000000002,9.8,1.0,1.0,31.172600619195048,26627.800000000003,0.7792201115352464,0.8229813882534343
1421,3996,11.362139338494018,0.28312658665558377,0.004000753288202119,5.959114293671401,20.0,10.4,1.0,1.0,30.818156228008448,27647.0,0.7837427817166318,0.8255005223360625
1563,5100,12.653230966090852,0.29369322127942027,0.004050330014753793,5.883130874908694,17.75,9.5,1.0,1.0,30.880518234165066,28489.25,0.7793256909927506,0.8237765029347439
1719,6250,13.60849331006399,0.2956283242683596,0.003960562662998834,5.8932843552286265,18.25,9.75,1.0,1.0,30.74854566608493,29463.75,0.8008582795807877,0.8398618812456013
1890,7771,15.326455026455026,0.3202768074381207,0.004056764167934099,5.597452590540051,16.75,9.0,1.0,1.0,31.033465608465608,29686.25,0.7952255089987957,0.8361440422392858
2079,8420,16.666987333654,0.31289262299666853,0.004010343439281521,5.531695715035525,15.666666666666668,8.333333333333332,1.0,1.0,30.852653519320185,29492.0,0.7950963507175159,0.8350209369701385
2286,10277,18.24730242053077,0.328895169129396,0.003992845168606295,5.472146000425019,18.333333333333332,9.666666666666666,1.0,1.0,30.868766404199473,28852.666666666664,0.7907961419815168,0.8313992428798578
2514,12858,20.163882259347655,0.3366108845623562,0.004011914496487794,5.274573146777031,16.0,8.333333333333332,1.0,1.0,30.98872977989923,27213.666666666668,0.782950890359989,0.8247742182403244
2765,16265,22.755877034358047,0.3583143535695109,0.004116475585086477,5.109264558757581,14.5,8.0,1.0,1.0,31.197106690777577,23340.0,0.7878088625741743,0.8300055827172266
3041,19940,25.09371917132522,0.35656552018397947,0.004127256442652175,5.010924765373178,15.5,8.0,1.0,1.0,31.32949687602762,18963.0,0.7856452236220145,0.8292897770996217
3345,22583,27.384155455904335,0.3697113892834343,0.004094520851660337,4.869363213279262,14.0,7.5,1.0,1.0,31.213452914798207,12809.0,0.786256758354293,0.8284396351528325
3679,28115,30.46914922533297,0.3695405834649469,0.004142081188870714,4.65718239394015,12.5,7.0,1.0,1.0,31.25169883120413,2879.0,0.7825899203281602,0.8270664435546049
4046,31199,30.844290657439448,0.38157870077654865,0.0038126440862100677,4.567980886053979,12.0,7.0,1.0,1.0,30.13297083539298,-2878.0,0.7929119403411123,0.830090708035514
4450,40328,36.24988764044944,0.3904466021320241,0.004073936574561636,4.397278074970502,11.0,7.0,1.0,1.0,31.14,-22739.0,0.7851107265879649,0.828679825431462
4895,49790,40.686414708886616,0.3829059451236093,0.004156764886482082,4.403525221738671,13.0,7.0,1.0,1.0,31.520122574055158,-44869.0,0.7751486208253553,0.8189194617393051
5384,59163,43.954680534918275,0.39504600305301385,0.004082730868931662,4.285918127573511,12.0,7.0,1.0,1.0,31.182020802377416,-68768.0,0.7902869087447206,0.8307050014367088
5922,72583,49.026004728132385,0.3924948731182362,0.00414001053269147,4.208818564179738,11.0,6.0,1.0,1.0,31.38517392772712,-104469.0,0.7868722506212554,0.8299188515217062
