num_nodes,num_edges,false_avg_degree,average_clustering,density,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio
500,8,0.0368,0.0,7.374749498997995e-05,12.453199999999999,6208.2,0.4801449151633361,0.6085164835164835
625,18,0.06079999999999999,0.0009599999999999999,9.743589743589742e-05,13.882240000000001,8638.4,0.5579238564501955,0.6582539682539683
781,20,0.0558258642765685,0.0006487409304310712,7.157162086739552e-05,13.885531370038413,10801.000000000002,0.5226622258935416,0.6062222222222222
976,38,0.07991803278688525,0.0,8.19672131147541e-05,14.007172131147541,13593.0,0.5364735246130006,0.639173929447274
1220,55,0.13278688524590163,0.0007229265929096343,0.00010893099692034589,16.286557377049178,19707.6,0.509852647707369,0.6174535651877424
1525,124,0.12826229508196724,0.0018069056626433674,8.416161094617272e-05,13.764196721311475,20794.799999999996,0.5676249676494819,0.6415761311537238
1906,186,0.19412381951731372,0.004380455310028971,0.00010190226746315681,14.916054564533054,28060.000000000004,0.5337709026367865,0.6256139904753757
2382,211,0.16742233417296387,0.003539780321970276,7.031597403316418e-05,12.994626364399664,30554.4,0.6417015400823575,0.6990820832137511
2977,366,0.2304333221363789,0.005454513938002703,7.743055179313809e-05,13.540678535438362,39624.6,0.5727407491368645,0.640084460680068
3721,544,0.297554420854609,0.006416912305516784,7.998774754156156e-05,13.509594195108843,49162.0,0.5868023074573953,0.6521128218383484
4651,722,0.36319071167490863,0.011071740768182322,7.810552939245347e-05,13.450827778972265,60870.600000000006,0.5814011836319887,0.6469902319960845
5813,1262,0.41486323757096166,0.013073666545968372,7.138046069699959e-05,12.967142611388267,72966.4,0.5945570494972047,0.6509466678325591
7266,2526,0.5842003853564548,0.022566213867902425,8.041299179028971e-05,13.729782548857692,95515.8,0.5841822774403989,0.6543279470095368
9082,3260,0.7355208103941864,0.028354351677448333,8.099557431936861e-05,13.714336049328342,117873.6,0.5964684943854018,0.6661307071648834
11352,5024,0.8713883016208599,0.0329548661780293,7.676753604271514e-05,13.356589147286822,141732.0,0.5966600495827632,0.6586400078794188
14190,8251,1.187737843551797,0.04618516400670214,8.370835460933096e-05,13.937787174066244,180923.2,0.5731954098944,0.6438840433453492
17737,11552,1.4388679032530867,0.05803609773000229,8.11269679326278e-05,13.699802672379771,217472.19999999998,0.5911419564826739,0.6588603786303866
22171,19705,1.8406567137251364,0.07645812055065931,8.302466006879282e-05,13.849000947183256,266237.0,0.579753265535923,0.6487425865655229
27713,31088,2.2065312308302962,0.08503267084797064,7.962367316795238e-05,13.575116371378053,315057.60000000003,0.5917394988783409,0.6578022012441528
34641,47203,2.806500967062152,0.10296154485690008,8.101908103528152e-05,13.70184174821743,377425.5,0.5872799395745933,0.654151454436025
43301,76579,3.517563104778181,0.11879299715465241,8.123702320503882e-05,13.706519479919631,441192.0,0.585295894907288,0.6534559068065569
54126,119390,4.378511867371196,0.13883647725019033,8.089629316159253e-05,13.701825370431955,504633.6666666666,0.5861919078259831,0.6533622328710753
67657,188603,5.512038665622183,0.15807884962632116,8.147154229665044e-05,13.739686950352514,556658.0,0.5842178833843704,0.6527954970669835
84571,294460,6.821357202823663,0.17313614815128997,8.065930238646876e-05,13.672092088304503,579373.5,0.5869304302504024,0.6535679406217287
105713,443608,8.392685856990152,0.18806621905180107,7.939198820370585e-05,13.560073027915204,546260.0,0.5851317797735338,0.6508133306883555
132141,693949,10.503159503863298,0.2068782098764831,7.948508781491825e-05,13.56961124859052,405204.0,0.5888221591961328,0.6544731673365045
165176,1106732,13.400639318060735,0.22481920256294277,8.112994895148015e-05,13.706252724366736,50480.0,0.5874802732561357,0.6540797591467492
